,date,tic,open,high,low,close,volume,avgvol_50,sma_10,sma_50,sma_100,sma_200,wma_50,rsi_14,volatility_30,volatility_100,stddev_30,dmi_14,adx_14,macd,atr_14
87,1986-01-10,PFE.US,46.4172,47.3652,46.1808,0.7034,13567200.0,13160255.6186,0.725,0.7303,0.6992,0.691,0.7386,39.8158,0.0005,0.0016,0.0228898834376176,14.6091,24.4844,-0.0049,1.3478
91,1986-01-13,ABT.US,66.6267,67.999,66.4983,0.8267,5243028.0,6949525.28,0.8264,0.7777,0.731,0.6946,0.7979,56.6268,0.0011,0.0031,0.0330726526574166,25.5586,35.6405,0.0139,1.6221
99,1986-01-13,MRK.US,135.7491,136.8734,134.9983,1.1234,7436189.0,7318779.22,1.1353,1.0608,0.986,0.9323,1.0941,56.9299,0.0008,0.0077,0.0288619502947721,8.3948,42.4598,0.0205,2.0799
100,1986-01-13,PFE.US,47.01,47.01,45.9444,0.7124,10327200.0,12983615.6238,0.7234,0.7313,0.6995,0.6914,0.7379,43.3733,0.0006,0.0016,0.0236530730943235,16.7199,23.9298,-0.0058,1.3277
104,1986-01-14,ABT.US,67.5,68.1238,67.1257,0.8344,4665618.0,6932060.4,0.8287,0.7802,0.7326,0.6957,0.8002,58.5923,0.0011,0.0032,0.0330080263313225,26.3258,34.9752,0.014,1.5775
112,1986-01-14,MRK.US,136.8734,137.0017,135.8736,1.1234,5353603.0,7167489.94,1.1356,1.0643,0.9878,0.9337,1.0965,56.9299,0.0008,0.0079,0.0282665523414071,9.1343,40.0794,0.0187,2.0119
113,1986-01-14,PFE.US,46.6548,47.3652,46.4172,0.707,8709600.0,12871679.627,0.7217,0.7323,0.6995,0.6919,0.7369,41.7776,0.0006,0.0016,0.0243328809369755,12.2308,23.0942,-0.0068,1.3006
117,1986-01-15,ABT.US,68.1238,69.1253,67.999,0.839,7107137.0,6839104.46,0.8293,0.7826,0.7341,0.6967,0.8025,59.7652,0.001,0.0033,0.0326220902155459,32.3517,34.7878,0.0143,1.5453
125,1986-01-15,MRK.US,136.1264,137.3752,136.1264,1.1234,6975907.0,7156775.18,1.1354,1.0676,0.9895,0.9351,1.0988,56.9299,0.0007,0.0081,0.0271749969246805,11.3771,38.0293,0.0172,1.9574
126,1986-01-15,PFE.US,46.1808,46.536,45.8256,0.6999,10024800.0,12802511.629,0.719,0.7327,0.6994,0.6923,0.7357,39.7091,0.0007,0.0016,0.0251537428713311,17.8948,22.7228,-0.0081,1.2669
130,1986-01-16,ABT.US,67.999,68.2484,67.001,0.8328,6091322.0,6870541.24,0.8297,0.785,0.7355,0.6977,0.8044,57.4049,0.0009,0.0033,0.0311531342428489,21.672,33.8509,0.0139,1.5421
138,1986-01-16,MRK.US,136.8734,137.2507,134.2513,1.1275,11518358.0,7155190.6,1.1348,1.0706,0.9913,0.9366,1.1012,58.3395,0.0006,0.0083,0.0255555883464578,1.7361,35.4369,0.0161,2.0318
139,1986-01-16,PFE.US,47.1288,47.2464,46.062,0.7142,16924800.0,12982079.6238,0.7187,0.7335,0.6996,0.6928,0.7349,45.556,0.0007,0.0016,0.0255734452707821,8.814,21.7293,-0.0079,1.261
143,1986-01-17,ABT.US,68.2484,68.2484,65.2509,0.8114,14139424.0,7030861.7,0.8275,0.7869,0.7367,0.6985,0.8055,50.0565,0.0008,0.0034,0.0291745370284099,5.5828,31.8318,0.0117,1.646
151,1986-01-17,MRK.US,137.0017,138.4995,136.1264,1.1255,13314211.0,7278259.34,1.1319,1.0735,0.993,0.938,1.1033,57.3534,0.0005,0.0084,0.0237247900047614,6.1859,33.3476,0.0149,2.0562
152,1986-01-17,PFE.US,47.3652,47.3652,46.8912,0.7178,12316800.0,13042463.622,0.7181,0.734,0.6999,0.6933,0.7343,46.9508,0.0006,0.0016,0.0258129693382259,7.3253,20.7004,-0.0074,1.2048
156,1986-01-20,ABT.US,66.3737,66.7516,65.9994,0.816,6611705.0,6916662.78,0.8258,0.7887,0.738,0.6995,0.8066,51.4939,0.0007,0.0034,0.0278270229272697,5.5828,29.9569,0.0102,1.5822
164,1986-01-20,MRK.US,137.6242,138.4995,137.2507,1.1316,4433040.0,7180166.54,1.1293,1.0768,0.995,0.9395,1.1056,59.5966,0.0005,0.0086,0.022769726784843,6.1859,31.4074,0.0142,2.0163
165,1986-01-20,PFE.US,46.536,47.484,45.9444,0.7052,22797599.0,13193903.6176,0.7163,0.7343,0.7002,0.6937,0.7332,42.8164,0.0007,0.0016,0.0256379847942074,17.0642,20.4407,-0.0079,1.2287
169,1986-01-21,ABT.US,66.7516,67.3752,66.4983,0.816,5734896.0,6908108.54,0.8215,0.7905,0.7391,0.7005,0.8077,51.4939,0.0005,0.0034,0.0256558358794293,10.475,28.5653,0.0089,1.5318
177,1986-01-21,MRK.US,137.6242,138.0015,136.6244,1.1285,4780138.0,7192164.06,1.126,1.0802,0.997,0.9409,1.1076,57.929,0.0004,0.0087,0.0217893046728653,1.585,29.2773,0.0133,1.9707
178,1986-01-21,PFE.US,45.234,46.2996,44.9964,0.6855,36861599.0,13631567.6048,0.7102,0.7342,0.7001,0.6941,0.7313,37.2877,0.0007,0.0016,0.0268122605405916,25.5055,20.8025,-0.0097,1.2509
182,1986-01-22,ABT.US,66.6267,67.5,65.7499,0.8053,6611705.0,6967489.14,0.8204,0.792,0.7401,0.7014,0.8083,47.7839,0.0004,0.0035,0.022595394722002,3.5411,26.7778,0.0069,1.5474
190,1986-01-22,MRK.US,137.3752,137.4997,135.9981,1.1193,4859366.0,7141382.16,1.1237,1.0831,0.9988,0.9424,1.1092,53.1738,0.0004,0.0088,0.0199378707204597,2.9439,27.3963,0.0117,1.9372
191,1986-01-22,PFE.US,44.76,45.7068,44.4048,0.6783,21448799.0,13895231.5972,0.7041,0.7338,0.7,0.6943,0.7291,35.4843,0.0008,0.0016,0.028521225642928,30.2749,21.4791,-0.0117,1.2546
195,1986-01-23,ABT.US,65.6253,65.6253,63.9998,0.7946,16067690.0,7189899.04,0.8194,0.7931,0.741,0.7022,0.8084,44.3434,0.0003,0.0035,0.0196927010993131,10.591,25.6216,0.0045,1.5619
203,1986-01-23,MRK.US,136.2509,136.2509,135.6246,1.1193,4780138.0,7069321.68,1.1235,1.0855,1.0006,0.9438,1.1106,53.1738,0.0003,0.0089,0.0187961367164388,5.6455,25.8427,0.0104,1.8435
204,1986-01-23,PFE.US,44.8788,44.8788,43.9308,0.6801,24484799.0,14147519.5898,0.7004,0.7332,0.6999,0.6947,0.727,36.3135,0.0009,0.0016,0.0296970313879523,33.925,22.3681,-0.0129,1.2327
208,1986-01-24,ABT.US,64.8766,65.3758,64.499,0.793,4701261.0,7067359.74,0.8169,0.794,0.7419,0.7031,0.8084,43.8352,0.0003,0.0035,0.0184769446010373,10.591,24.548,0.0023,1.5129
216,1986-01-24,MRK.US,136.4999,136.7489,134.5003,1.1121,4451904.0,7021256.2,1.1234,1.0877,1.0025,0.9452,1.1116,49.4867,0.0003,0.009,0.0178868922877284,13.4548,24.9578,0.0086,1.8725
217,1986-01-24,PFE.US,44.5236,44.9964,44.4048,0.6747,16975200.0,14080223.5918,0.6975,0.7323,0.6997,0.695,0.7247,34.8656,0.0009,0.0017,0.0307658161316689,32.0776,23.0616,-0.0141,1.1869
221,1986-01-27,ABT.US,64.7484,64.8766,63.3762,0.7808,10197351.0,7134296.56,0.8123,0.7947,0.7427,0.7039,0.8078,40.0643,0.0004,0.0035,0.0188568543860344,18.8339,24.1399,-0.0003,1.512
229,1986-01-27,MRK.US,136.3754,137.0017,135.5001,1.1141,5017824.0,7047363.98,1.1225,1.0903,1.0043,0.9467,1.1127,50.5132,0.0003,0.0091,0.0176538723558636,11.2256,23.977,0.0073,1.8549
230,1986-01-27,PFE.US,44.9964,45.1152,43.8132,0.6819,15549600.0,14187743.5888,0.6945,0.7316,0.6997,0.6954,0.7227,38.3928,0.0009,0.0017,0.0308620572302435,36.8006,24.043,-0.0144,1.1951
234,1986-01-28,ABT.US,63.8752,66.2489,63.7503,0.8114,14567136.0,7298323.86,0.81,0.796,0.744,0.7049,0.8085,51.3651,0.0004,0.0035,0.0187356943692076,5.9743,22.8423,0.0,1.5825
242,1986-01-28,MRK.US,136.1264,136.3754,135.2511,1.1183,7190957.0,7137986.64,1.122,1.0928,1.0062,0.9482,1.1138,52.6875,0.0003,0.0091,0.016929611270586,13.038,23.1956,0.0065,1.8027
